# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                             long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| DENTUSDT      | 0.0004874     | 0.001505    | 0.0252       | 66.9          | 0.008838     | 0.008123    | 0.01979        | 0.9589                 | 0.002171     | 860.83  | -480179.300487 |
| ZECUSDT       | 0.0004745     | 0.000827    | 0.02592      | 85.28         | 0.009308     | 0.01097     | 0.00486        | 0.8654                 | 0.004229     | 1273.67 | -480179.300474 |
| ROSEUSDT      | 0.0004653     | 0.0007409   | 0.04089      | 95.67         | 0.01081      | 0.01332     | 0.03827        | 0.9141                 | 0.006517     | 579.88  | -480179.300465 |
| WOOUSDT       | 0.0004624     | 0.0006117   | 0.03794      | 92.7          | 0.01657      | 0.017       | 0.04838        | 0.893                  | 0.005814     | 481.88  | -480179.300462 |
| LITUSDT       | 0.0004565     | 0.0008033   | 0.02867      | 89.08         | 0.01995      | 0.01884     | 0.06214        | 0.8648                 | 0.006191     | 895.71  | -480179.300456 |
| CKBUSDT       | 0.000456      | 0.001256    | 0.0665       | 72.18         | 0.01043      | 0.00929     | 0.001175       | 0.9629                 | 0.003642     | 155.5   | -480179.300456 |
| RADUSDT       | 0.0004494     | 0.00081     | 0.06745      | 79.75         | 0.01268      | 0.01367     | 0.03108        | 0.912                  | 0.007978     | 84.5    | -480179.300449 |
| ZILUSDT       | 0.0004483     | 0.0009063   | 0.03274      | 61.0          | 0.009054     | 0.0142      | 0.05863        | 0.7874                 | 0.008666     | 1140.62 | -480179.300448 |
| SFPUSDT       | 0.000447      | 0.0009592   | 0.02525      | 42.03         | 0.009452     | 0.01924     | 0.05281        | 0.7591                 | 0.0112       | 889.71  | -480179.300447 |
| VETUSDT       | 0.0004408     | 0.00141     | 0.02227      | 94.55         | 0.009343     | 0.00859     | 0.05337        | 0.9038                 | 0.003354     | 1264.67 | -480179.300441 |
| IDUSDT        | 0.0004369     | 0.0007161   | 0.05706      | 70.25         | 0.01712      | 0.01923     | 0.0            | 0.9251                 | 0.009163     | 132.42  | -480179.300437 |
| SSVUSDT       | 0.0004276     | 0.0008939   | 0.04779      | 88.9          | 0.01396      | 0.01147     | 0.02389        | 0.9437                 | 0.004856     | 159.5   | -480179.300428 |
| HIGHUSDT      | 0.0004264     | 0.0007262   | 0.03382      | 57.83         | 0.01816      | 0.01825     | 0.0            | 0.9368                 | 0.006799     | 176.92  | -480179.300426 |
| BLUEBIRDUSDT  | 0.0004206     | 0.0005911   | 0.05072      | 82.62         | 0.006253     | 0.006408    | 0.0            | 0.9805                 | 0.001524     | 273.5   | -480179.300421 |
| IOTAUSDT      | 0.0004182     | 0.0009763   | 0.0323       | 84.8          | 0.0103       | 0.01053     | 0.02627        | 0.8393                 | 0.00519      | 1266.67 | -480179.300418 |
| MAGICUSDT     | 0.000412      | 0.001031    | 0.04023      | 65.95         | 0.01137      | 0.01158     | 0.03966        | 0.9266                 | 0.006622     | 189.88  | -480179.300412 |
| OGNUSDT       | 0.0004112     | 0.0008988   | 0.04223      | 83.72         | 0.01798      | 0.01895     | 0.03782        | 0.8192                 | 0.008675     | 852.71  | -480179.300411 |
| XVSUSDT       | 0.0003971     | 0.0004291   | 0.03585      | 69.63         | 0.01588      | 0.01661     | 0.0            | 0.9351                 | 0.005653     | 111.92  | -480179.300397 |
| API3USDT      | 0.0003949     | 0.0008528   | 0.03981      | 82.07         | 0.0107       | 0.009845    | 0.01713        | 0.9209                 | 0.004146     | 526.88  | -480179.300395 |
| ENSUSDT       | 0.0003934     | 0.0009072   | 0.04006      | 88.05         | 0.01166      | 0.01239     | 0.007122       | 0.8817                 | 0.004955     | 610.88  | -480179.300393 |
| TRUUSDT       | 0.0003871     | 0.0008051   | 0.03315      | 52.35         | 0.01155      | 0.01112     | 0.01113        | 0.939                  | 0.004338     | 148.5   | -480179.300387 |
| CVXUSDT       | 0.0003825     | 0.0006519   | 0.06687      | 80.88         | 0.01136      | 0.01091     | 0.03538        | 0.8928                 | 0.006487     | 314.5   | -480179.300382 |
| BTCUSDT       | 0.0003731     | 0.0007472   | 0.06375      | 95.43         | 0.007378     | 0.009562    | 0.05801        | 0.8775                 | 0.005524     | 1309.0  | -480179.300373 |
| FOOTBALLUSDT  | 0.0003704     | 0.0007475   | 0.03928      | 93.98         | 0.009455     | 0.008946    | 0.008244       | 0.9512                 | 0.003513     | 335.88  | -480179.30037  |
| JOEUSDT       | 0.0003688     | 0.001046    | 0.03777      | 45.38         | 0.01504      | 0.013       | 0.001887       | 0.9555                 | 0.003507     | 126.5   | -480179.300369 |
| AMBUSDT       | 0.0003658     | 0.000591    | 0.06458      | 80.4          | 0.01784      | 0.01965     | 0.0459         | 0.8715                 | 0.01076      | 125.5   | -480179.300366 |
| XEMUSDT       | 0.0003634     | 0.000815    | 0.04107      | 71.62         | 0.01195      | 0.01054     | 0.07353        | 0.8985                 | 0.004315     | 882.71  | -480179.300363 |
| ANTUSDT       | 0.0003593     | 0.000554    | 0.03658      | 82.62         | 0.01222      | 0.01032     | 0.05482        | 0.9313                 | 0.002993     | 583.83  | -480179.300359 |
| BALUSDT       | 0.0003577     | 0.0007735   | 0.05208      | 81.87         | 0.01346      | 0.01734     | 0.05038        | 0.8357                 | 0.009864     | 1065.71 | -480179.300358 |
| ALGOUSDT      | 0.0003503     | 0.0008687   | 0.02791      | 69.82         | 0.008289     | 0.009027    | 0.01863        | 0.8534                 | 0.004726     | 1142.62 | -480179.30035  |
| ADAUSDT       | 0.0003476     | 0.0006773   | 0.02864      | 67.93         | 0.009091     | 0.01466     | 0.09901        | 0.8354                 | 0.009347     | 1278.67 | -480179.300348 |
| DYDXUSDT      | 0.0003447     | 0.0007129   | 0.02683      | 73.63         | 0.0141       | 0.01285     | 0.01052        | 0.9198                 | 0.004088     | 691.88  | -480179.300345 |
| ACHUSDT       | 0.000342      | 0.0007659   | 0.03164      | 60.98         | 0.01218      | 0.0134      | 0.009528       | 0.9332                 | 0.005721     | 161.42  | -480179.300342 |
| BATUSDT       | 0.0003382     | 0.000742    | 0.03672      | 93.22         | 0.01552      | 0.01617     | 0.02812        | 0.8586                 | 0.005784     | 1265.67 | -480179.300338 |
| KNCUSDT       | 0.0003369     | 0.0005963   | 0.03641      | 89.47         | 0.01718      | 0.01789     | 0.0486         | 0.8048                 | 0.007132     | 1136.67 | -480179.300337 |
| DASHUSDT      | 0.0003223     | 0.0006779   | 0.02728      | 94.8          | 0.01608      | 0.01634     | 0.008254       | 0.9129                 | 0.003945     | 1274.67 | -480179.300322 |
| FLMUSDT       | 0.0003199     | 0.0006407   | 0.03554      | 84.13         | 0.01784      | 0.01994     | 0.04887        | 0.8258                 | 0.007304     | 1037.71 | -480179.30032  |
