+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| ASTRUSDT     | 0.001376      | 0.001273    | 0.05821      | 49.0          | 0.01252      | 0.01108     | 0.07059        | 0.9371                 | 0.007006     | 117.88  | -240179.251376 |
| ICPUSDT      | 0.00125       | 0.001273    | 0.04371      | 83.48         | 0.01111      | 0.008512    | 0.0            | 0.9786                 | 0.00165      | 262.88  | -240179.25125  |
| JOEUSDT      | 0.001595      | 0.001271    | 0.04418      | 33.62         | 0.01168      | 0.009324    | 0.0            | 0.9468                 | 0.005073     | 79.46   | -240179.251595 |
| ARUSDT       | 0.0005994     | 0.001269    | 0.04986      | 85.9          | 0.01399      | 0.01222     | 0.03363        | 0.8781                 | 0.006538     | 621.83  | -240179.250599 |
| ATAUSDT      | 0.0006912     | 0.001202    | 0.05737      | 93.13         | 0.01374      | 0.01804     | 0.08343        | 0.8122                 | 0.0116       | 649.83  | -240179.250691 |
| APEUSDT      | 0.0007129     | 0.001193    | 0.05141      | 92.1          | 0.0141       | 0.01567     | 0.07742        | 0.8651                 | 0.009615     | 451.33  | -240179.250713 |
| INJUSDT      | 0.001114      | 0.001187    | 0.02295      | 79.33         | 0.01091      | 0.009151    | 0.005042       | 0.9407                 | 0.003165     | 303.88  | -240179.251114 |
| AUDIOUSDT    | 0.0006937     | 0.001173    | 0.0733       | 82.7          | 0.01693      | 0.01637     | 0.09562        | 0.836                  | 0.0101       | 661.83  | -240179.250694 |
| EOSUSDT      | 0.0005952     | 0.001158    | 0.0421       | 94.57         | 0.01027      | 0.0137      | 0.078          | 0.8573                 | 0.009003     | 1250.62 | -240179.250595 |
| ACHUSDT      | 0.001798      | 0.001151    | 0.03424      | 70.25         | 0.01765      | 0.01296     | 0.01495        | 0.9553                 | 0.004103     | 109.38  | -240179.251798 |
| IOSTUSDT     | 0.000675      | 0.001144    | 0.03447      | 93.85         | 0.0154       | 0.01591     | 0.06843        | 0.8547                 | 0.006503     | 1206.62 | -240179.250675 |
