# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| BCHUSDT      | 0.0006444     | 0.001866    | 0.05476      | 87.53         | 0.01193      | 0.01118     | 0.0636         | 0.8206                 | 0.007832     | 1289.96 | -480179.300644 |
| BLZUSDT      | 0.0006409     | 0.00112     | 0.0514       | 92.68         | 0.01954      | 0.01989     | 0.03873        | 0.8165                 | 0.01105      | 1030.67 | -480179.300641 |
| CELOUSDT     | 0.0006364     | 0.0009942   | 0.04896      | 76.3          | 0.01256      | 0.01254     | 0.02282        | 0.8707                 | 0.007257     | 656.83  | -480179.300636 |
| HOOKUSDT     | 0.0006348     | 0.0008887   | 0.04101      | 83.57         | 0.01872      | 0.01494     | 0.0            | 0.9557                 | 0.004256     | 173.83  | -480179.300635 |
| QTUMUSDT     | 0.0006334     | 0.001031    | 0.06028      | 86.45         | 0.01673      | 0.01935     | 0.05542        | 0.7751                 | 0.01125      | 1239.62 | -480179.300633 |
| BALUSDT      | 0.0006325     | 0.001335    | 0.04863      | 82.55         | 0.01361      | 0.01169     | 0.03284        | 0.8416                 | 0.006372     | 1046.67 | -480179.300633 |
| BATUSDT      | 0.0006321     | 0.001229    | 0.06089      | 92.53         | 0.01453      | 0.01286     | 0.04039        | 0.8251                 | 0.009032     | 1246.62 | -480179.300632 |
| TRBUSDT      | 0.0006234     | 0.001364    | 0.02622      | 89.12         | 0.01456      | 0.01854     | 0.02176        | 0.7597                 | 0.009269     | 1044.67 | -480179.300623 |
| IOSTUSDT     | 0.0006037     | 0.001127    | 0.03385      | 93.85         | 0.01521      | 0.01583     | 0.06579        | 0.8537                 | 0.006458     | 1238.62 | -480179.300604 |
| XMRUSDT      | 0.0005947     | 0.001046    | 0.04063      | 66.03         | 0.007147     | 0.01195     | 0.07558        | 0.754                  | 0.007632     | 1256.62 | -480179.300595 |
| IMXUSDT      | 0.0005896     | 0.00173     | 0.05946      | 47.05         | 0.01178      | 0.01734     | 0.0691         | 0.8709                 | 0.01172      | 519.83  | -480179.30059  |
| PHBUSDT      | 0.0005891     | 0.0007221   | 0.04946      | 82.02         | 0.01698      | 0.0139      | 0.0894         | 0.9151                 | 0.007407     | 149.38  | -480179.300589 |
