+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                                |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
| GTCUSDT      | 0.001382                  | 56.7          | 0.02258          | 0.02054         | 0.09177           | 0.8977                       | 0.009716        | 669.85  | -36007.001381631475 |
| BANDUSDT     | 0.00136                   | 52.15         | 0.01828          | 0.02145         | 0.219             | 0.8647                       | 0.01482         | 986.71  | -36007.00135960971  |
| ETCUSDT      | 0.001349                  | 39.22         | 0.01561          | 0.024           | 0.1142            | 0.8257                       | 0.01999         | 1181.66 | -36007.00134933567  |
| DOTUSDT      | 0.001347                  | 56.73         | 0.01291          | 0.01892         | 0.222             | 0.9086                       | 0.01308         | 962.71  | -36007.00134714783  |
| UNIUSDT      | 0.00133                   | 33.83         | 0.01352          | 0.01614         | 0.2577            | 0.9504                       | 0.0113          | 935.71  | -36007.00133026179  |
| ALPHAUSDT    | 0.001327                  | 41.72         | 0.0123           | 0.0177          | 0.2437            | 0.908                        | 0.01145         | 869.71  | -36007.00132736507  |
| LINAUSDT     | 0.00132                   | 59.15         | 0.02211          | 0.02844         | 0.243             | 0.8638                       | 0.01933         | 753.71  | -36007.001319671515 |
| DEFIUSDT     | 0.0013                    | 48.97         | 0.01107          | 0.01619         | 0.2665            | 0.9249                       | 0.01091         | 956.71  | -36007.00130011038  |
| COMPUSDT     | 0.00128                   | 47.32         | 0.01185          | 0.01664         | 0.2894            | 0.9477                       | 0.01037         | 1015.62 | -36007.00128027516  |
| SFPUSDT      | 0.001275                  | 30.18         | 0.02469          | 0.02429         | 0.1866            | 0.7913                       | 0.01682         | 776.71  | -36007.00127484722  |
| YFIUSDT      | 0.001272                  | 57.45         | 0.01072          | 0.01374         | 0.27              | 0.9503                       | 0.008473        | 953.71  | -36007.00127190664  |
| VETUSDT      | 0.001272                  | 42.9          | 0.01325          | 0.02934         | 0.2614            | 0.931                        | 0.01676         | 1152.66 | -36007.00127165986  |
| AVAXUSDT     | 0.001271                  | 68.05         | 0.008881         | 0.01589         | 0.2483            | 0.9333                       | 0.009551        | 930.71  | -36007.001271159286 |
| THETAUSDT    | 0.001261                  | 49.63         | 0.01484          | 0.02143         | 0.2592            | 0.945                        | 0.01312         | 1049.66 | -36007.00126085435  |
| KNCUSDT      | 0.001215                  | 40.1          | 0.01555          | 0.01646         | 0.2281            | 0.9223                       | 0.008259        | 1023.63 | -36007.001215167664 |
| SANDUSDT     | 0.001207                  | 43.1          | 0.01369          | 0.01777         | 0.2781            | 0.9109                       | 0.01148         | 806.71  | -36007.001206671834 |
| ONEUSDT      | 0.001164                  | 24.85         | 0.01267          | 0.0142          | 0.1059            | 0.8952                       | 0.009168        | 754.71  | -36007.00116389197  |
| KSMUSDT      | 0.001142                  | 48.32         | 0.009234         | 0.01187         | 0.2264            | 0.9572                       | 0.006806        | 909.71  | -36007.001142279565 |
| OGNUSDT      | 0.001124                  | 51.92         | 0.02737          | 0.02817         | 0.1178            | 0.8525                       | 0.0159          | 740.71  | -36007.0011239952   |
| KAVAUSDT     | 0.001112                  | 57.08         | 0.01109          | 0.01297         | 0.2378            | 0.8996                       | 0.005628        | 987.7   | -36007.001111555466 |
| LINKUSDT     | 0.001064                  | 25.55         | 0.01166          | 0.01928         | 0.2612            | 0.9342                       | 0.01203         | 1180.66 | -36007.00106386369  |
| ZECUSDT      | 0.001063                  | 82.57         | 0.01433          | 0.02315         | 0.2478            | 0.9032                       | 0.01298         | 1161.66 | -36007.00106264766  |
| DASHUSDT     | 0.001037                  | 36.83         | 0.01479          | 0.01601         | 0.1264            | 0.9154                       | 0.008253        | 1162.66 | -36007.001036790054 |
| QTUMUSDT     | 0.001005                  | 86.48         | 0.01444          | 0.01677         | 0.2689            | 0.9264                       | 0.008537        | 1146.66 | -36007.001004807375 |
