+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                               long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
| TOMOUSDT  | 0.001311                  | 68.67         | 0.009804         | 0.01237         | 0.1602            | 0.8794                       | 0.009946        | 880.67  | -36012.501311483444 |
| ONEUSDT   | 0.00128                   | 79.15         | 0.01132          | 0.01166         | 0.09174           | 0.9052                       | 0.006194        | 723.67  | -36012.50127966142  |
| DENTUSDT  | 0.001265                  | 95.3          | 0.01875          | 0.02085         | 0.2962            | 0.8459                       | 0.00766         | 717.79  | -36012.50126531918  |
| RLCUSDT   | 0.001246                  | 95.58         | 0.01868          | 0.01669         | 0.05101           | 0.8299                       | 0.006373        | 953.67  | -36012.50124565749  |
| ENJUSDT   | 0.001231                  | 69.13         | 0.01208          | 0.01243         | 0.2412            | 0.8107                       | 0.009145        | 893.67  | -36012.501231089715 |
| ZILUSDT   | 0.001212                  | 75.9          | 0.009351         | 0.01016         | 0.1196            | 0.8711                       | 0.0073          | 996.58  | -36012.50121229232  |
| HOTUSDT   | 0.00118                   | 87.35         | 0.009602         | 0.01285         | 0.2456            | 0.8827                       | 0.009811        | 711.67  | -36012.50117977923  |
| SKLUSDT   | 0.001165                  | 90.67         | 0.01284          | 0.01254         | 0.01479           | 0.9436                       | 0.005545        | 823.67  | -36012.50116513738  |
| ALGOUSDT  | 0.001163                  | 87.87         | 0.01195          | 0.009032        | 0.1619            | 0.8932                       | 0.005042        | 998.58  | -36012.50116286744  |
| NEOUSDT   | 0.001162                  | 90.1          | 0.01233          | 0.01065         | 0.2553            | 0.8478                       | 0.009914        | 1118.62 | -36012.50116156925  |
| XMRUSDT   | 0.001156                  | 67.72         | 0.006008         | 0.009565        | 0.245             | 0.9114                       | 0.007357        | 1132.62 | -36012.50115582161  |
| NKNUSDT   | 0.001148                  | 74.05         | 0.01247          | 0.016           | 0.2441            | 0.8263                       | 0.009993        | 701.67  | -36012.50114848072  |
| HBARUSDT  | 0.001136                  | 79.37         | 0.01331          | 0.01272         | 0.09901           | 0.8343                       | 0.009801        | 724.67  | -36012.50113647567  |
| CRVUSDT   | 0.00113                   | 86.67         | 0.01478          | 0.01269         | 0.2551            | 0.8957                       | 0.007679        | 921.67  | -36012.50113042128  |
| CHZUSDT   | 0.00113                   | 77.37         | 0.01025          | 0.01047         | 0.2644            | 0.6715                       | 0.008391        | 779.67  | -36012.50112959576  |
| COTIUSDT  | 0.001099                  | 86.48         | 0.01483          | 0.01548         | 0.1417            | 0.8618                       | 0.008988        | 731.67  | -36012.50109917379  |
| ATOMUSDT  | 0.001083                  | 86.52         | 0.009472         | 0.01222         | 0.1964            | 0.8667                       | 0.008741        | 1128.46 | -36012.5010825937   |
| DGBUSDT   | 0.001078                  | 91.18         | 0.01373          | 0.01246         | 0.128             | 0.8772                       | 0.009018        | 689.83  | -36012.50107783424  |
| ZRXUSDT   | 0.001072                  | 72.23         | 0.01277          | 0.01394         | 0.1244            | 0.8201                       | 0.009803        | 990.58  | -36012.50107226606  |
| ZENUSDT   | 0.001059                  | 89.13         | 0.01777          | 0.01579         | 0.2653            | 0.8719                       | 0.00998         | 837.67  | -36012.50105945091  |
| SXPUSDT   | 0.001059                  | 85.42         | 0.01713          | 0.01413         | 0.2309            | 0.8758                       | 0.008344        | 963.58  | -36012.50105873831  |
| NEARUSDT  | 0.001042                  | 96.0          | 0.0153           | 0.01349         | 0.09379           | 0.844                        | 0.009347        | 877.62  | -36012.50104227259  |
| MANAUSDT  | 0.001021                  | 79.62         | 0.01175          | 0.009734        | 0.1261            | 0.9171                       | 0.004129        | 726.67  | -36012.50102149307  |
| ANKRUSDT  | 0.001002                  | 95.75         | 0.02074          | 0.01782         | 0.1551            | 0.8202                       | 0.008537        | 774.67  | -36012.501002141806 |
| IOTAUSDT  | 0.000976                  | 73.4          | 0.01176          | 0.01101         | 0.2249            | 0.8801                       | 0.007094        | 1123.62 | -36012.50097598421  |
| LINKUSDT  | 0.000962                  | 82.6          | 0.008649         | 0.01298         | 0.09771           | 0.863                        | 0.008555        | 1149.62 | -36012.50096198858  |
| BALUSDT   | 0.0009475                 | 91.77         | 0.01889          | 0.0157          | 0.05876           | 0.9735                       | 0.002042        | 921.67  | -36012.50094748714  |
| SOLUSDT   | 0.0009205                 | 95.97         | 0.01859          | 0.01528         | 0.2621            | 0.8452                       | 0.006477        | 908.67  | -36012.50092054427  |
| RENUSDT   | 0.0009143                 | 93.17         | 0.01918          | 0.01978         | 0.1712            | 0.8284                       | 0.009511        | 879.67  | -36012.50091434411  |
| SNXUSDT   | 0.0008939                 | 69.38         | 0.01596          | 0.01244         | 0.207             | 0.9236                       | 0.003236        | 939.67  | -36012.50089386747  |
| KSMUSDT   | 0.0008936                 | 59.72         | 0.01272          | 0.01253         | 0.216             | 0.8858                       | 0.00917         | 878.67  | -36012.50089358727  |
| HNTUSDT   | 0.000891                  | 70.62         | 0.01645          | 0.01353         | 0.1457            | 0.8634                       | 0.007913        | 894.67  | -36012.50089102042  |
| CTKUSDT   | 0.0008796                 | 79.92         | 0.0113           | 0.01293         | 0.2841            | 0.7786                       | 0.008183        | 842.67  | -36012.50087957549  |
| XTZUSDT   | 0.000872                  | 95.58         | 0.01367          | 0.01091         | 0.1582            | 0.9098                       | 0.007158        | 1129.62 | -36012.50087204765  |
| ALICEUSDT | 0.0008694                 | 83.53         | 0.013            | 0.01514         | 0.2164            | 0.8277                       | 0.009718        | 725.83  | -36012.50086940501  |
| MKRUSDT   | 0.0008664                 | 77.58         | 0.01058          | 0.01206         | 0.06638           | 0.8332                       | 0.008824        | 940.67  | -36012.50086641164  |
| LTCUSDT   | 0.0008405                 | 94.27         | 0.01296          | 0.01157         | 0.0487            | 0.8981                       | 0.006321        | 1157.62 | -36012.50084049545  |
| XRPUSDT   | 0.0008281                 | 89.3          | 0.01017          | 0.01168         | 0.1248            | 0.7984                       | 0.009296        | 1160.62 | -36012.5008281146   |
| OGNUSDT   | 0.0008251                 | 89.45         | 0.01313          | 0.01021         | 0.1137            | 0.9461                       | 0.002349        | 709.67  | -36012.50082505733  |
| FLMUSDT   | 0.0008234                 | 65.97         | 0.01715          | 0.01869         | 0.07473           | 0.8166                       | 0.009977        | 893.67  | -36012.500823441915 |
| SANDUSDT  | 0.000806                  | 95.6          | 0.01559          | 0.01628         | 0.0633            | 0.8351                       | 0.01            | 775.67  | -36012.50080595204  |
| THETAUSDT | 0.0007971                 | 91.6          | 0.01048          | 0.009094        | 0.1377            | 0.9406                       | 0.004788        | 1018.62 | -36012.50079708953  |
| YFIUSDT   | 0.0007967                 | 75.78         | 0.01127          | 0.01042         | 0.08782           | 0.8915                       | 0.00507         | 922.67  | -36012.500796710265 |
| 1INCHUSDT | 0.0007895                 | 95.02         | 0.01212          | 0.01334         | 0.1859            | 0.8597                       | 0.008201        | 806.54  | -36012.50078954813  |
| UNIUSDT   | 0.0007846                 | 62.47         | 0.01203          | 0.01213         | 0.09022           | 0.8545                       | 0.008974        | 904.67  | -36012.50078457021  |
| KAVAUSDT  | 0.0007799                 | 81.7          | 0.01555          | 0.01568         | 0.1752            | 0.8817                       | 0.008764        | 956.67  | -36012.50077988007  |
| DEFIUSDT  | 0.0007799                 | 79.58         | 0.01295          | 0.0106          | 0.1002            | 0.9041                       | 0.00676         | 925.67  | -36012.50077987447  |
| CHRUSDT   | 0.0007777                 | 89.2          | 0.01122          | 0.0141          | 0.1548            | 0.8754                       | 0.008814        | 729.67  | -36012.50077773617  |
| VETUSDT   | 0.0007767                 | 91.03         | 0.01215          | 0.01234         | 0.1981            | 0.8411                       | 0.007815        | 1121.62 | -36012.50077673827  |
| ADAUSDT   | 0.0007105                 | 86.82         | 0.01009          | 0.01184         | 0.1899            | 0.8882                       | 0.007469        | 1135.62 | -36012.50071054903  |
| EGLDUSDT  | 0.0006983                 | 90.6          | 0.01348          | 0.01067         | 0.08027           | 0.9245                       | 0.004223        | 908.67  | -36012.50069828445  |
| KNCUSDT   | 0.0006957                 | 88.87         | 0.0104           | 0.009835        | 0.2521            | 0.9148                       | 0.005576        | 992.62  | -36012.50069571151  |
