
# Note: coins with less than ~730 days worth of price history are not optimized on their own,
# but instead the best config from among the coins with longer price history is selected.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| AAVEUSDT     | 0.001089      | 0.002103    | 0.03585      | 72.37         | 0.01067      | 0.009175    | 0.07613        | 0.914                  | 0.003912     | 953.67  | -230179.251089 |
| LINKUSDT     | 0.001069      | 0.002415    | 0.06656      | 95.97         | 0.00976      | 0.01029     | 0.04363        | 0.8162                 | 0.007688     | 1226.62 | -230179.251069 |
| APTUSDT      | 0.001067      | 0.002065    | 0.05434      | 68.45         | 0.0123       | 0.00916     | 0.07706        | 0.93                   | 0.005733     | 220.88  | -230179.251067 |
| CELOUSDT     | 0.001064      | 0.001701    | 0.06235      | 78.88         | 0.0151       | 0.01189     | 0.0657         | 0.8952                 | 0.00549      | 607.83  | -230179.251064 |
| COMPUSDT     | 0.001059      | 0.001795    | 0.03269      | 81.42         | 0.00932      | 0.01291     | 0.0125         | 0.7949                 | 0.007646     | 1061.58 | -230179.251059 |
| AUDIOUSDT    | 0.001055      | 0.001805    | 0.05609      | 88.43         | 0.01326      | 0.01084     | 0.008141       | 0.8993                 | 0.004767     | 646.83  | -230179.251055 |
| ICXUSDT      | 0.001033      | 0.001506    | 0.04037      | 83.48         | 0.01152      | 0.01471     | 0.05012        | 0.8045                 | 0.009255     | 984.67  | -230179.251033 |
| RENUSDT      | 0.001033      | 0.001457    | 0.03722      | 69.73         | 0.01401      | 0.014       | 0.05166        | 0.7866                 | 0.007251     | 956.67  | -230179.251033 |
| ZENUSDT      | 0.001027      | 0.002087    | 0.07423      | 85.55         | 0.01548      | 0.01951     | 0.09016        | 0.7581                 | 0.01336      | 914.67  | -230179.251027 |
| UNIUSDT      | 0.001025      | 0.002508    | 0.06913      | 83.22         | 0.01207      | 0.01425     | 0.07156        | 0.8112                 | 0.00918      | 981.67  | -230179.251025 |
| CFXUSDT      | 0.001012      | 0.002142    | 0.06585      | 69.2          | 0.01817      | 0.01254     | 0.001342       | 0.9435                 | 0.006023     | 96.38   | -230179.251012 |
| SXPUSDT      | 0.001011      | 0.003008    | 0.05253      | 92.9          | 0.01721      | 0.01626     | 0.06266        | 0.7328                 | 0.01059      | 1040.58 | -230179.251011 |
| ZILUSDT      | 0.00101       | 0.001682    | 0.04595      | 53.97         | 0.01215      | 0.01778     | 0.09916        | 0.7745                 | 0.01001      | 1073.58 | -230179.25101  |
| NEARUSDT     | 0.001         | 0.001873    | 0.04203      | 85.95         | 0.01427      | 0.01381     | 0.06036        | 0.8358                 | 0.007425     | 954.62  | -230179.251    |
| DOTUSDT      | 0.0009909     | 0.002201    | 0.07426      | 95.08         | 0.01149      | 0.01308     | 0.04115        | 0.781                  | 0.01082      | 1008.67 | -230179.250991 |
| SFPUSDT      | 0.0009883     | 0.002502    | 0.03338      | 90.23         | 0.01294      | 0.01372     | 0.01939        | 0.8321                 | 0.007515     | 822.67  | -230179.250988 |
| ETHUSDT      | 0.0009841     | 0.002109    | 0.05111      | 65.42         | 0.006478     | 0.01771     | 0.04316        | 0.6746                 | 0.009318     | 1242.96 | -230179.250984 |
| QNTUSDT      | 0.0009812     | 0.001623    | 0.03686      | 46.73         | 0.005721     | 0.007419    | 0.02018        | 0.9338                 | 0.004895     | 219.88  | -230179.250981 |
| SPELLUSDT    | 0.0009786     | 0.001225    | 0.05971      | 74.77         | 0.008757     | 0.008373    | 0.06713        | 0.9407                 | 0.0054       | 263.46  | -230179.250979 |
| 1INCHUSDT    | 0.0009681     | 0.00219     | 0.0606       | 72.88         | 0.00939      | 0.01627     | 0.053          | 0.8214                 | 0.01044      | 883.54  | -230179.250968 |
| ASTRUSDT     | 0.000967      | 0.001847    | 0.04514      | 45.25         | 0.01014      | 0.008354    | 0.0007837      | 0.9777                 | 0.001825     | 102.88  | -230179.250967 |
| BNXUSDT      | 0.0009481     | 0.002804    | 0.05795      | 67.22         | 0.01059      | 0.00949     | 0.02298        | 0.9479                 | 0.005474     | 94.38   | -230179.250948 |
| RUNEUSDT     | 0.0009443     | 0.002743    | 0.07305      | 71.82         | 0.01261      | 0.01915     | 0.03587        | 0.7391                 | 0.01329      | 995.67  | -230179.250944 |
| KSMUSDT      | 0.0009377     | 0.001676    | 0.05248      | 88.07         | 0.01299      | 0.01246     | 0.07883        | 0.8541                 | 0.007691     | 955.67  | -230179.250938 |
| FXSUSDT      | 0.0009358     | 0.001833    | 0.05183      | 55.15         | 0.0153       | 0.01215     | 0.008212       | 0.955                  | 0.00397      | 127.83  | -230179.250936 |
| HOOKUSDT     | 0.0009331     | 0.001877    | 0.03309      | 35.27         | 0.01034      | 0.007874    | 0.0            | 0.9869                 | 0.00121      | 124.83  | -230179.250933 |
| CRVUSDT      | 0.0009325     | 0.00205     | 0.04652      | 83.93         | 0.01476      | 0.01683     | 0.05069        | 0.8073                 | 0.01024      | 998.67  | -230179.250933 |
| FILUSDT      | 0.0009302     | 0.001501    | 0.04068      | 69.7          | 0.01427      | 0.01875     | 0.05879        | 0.8517                 | 0.007483     | 953.71  | -230179.25093  |
| EGLDUSDT     | 0.0009249     | 0.001925    | 0.0473       | 73.23         | 0.01025      | 0.01777     | 0.07338        | 0.8212                 | 0.01161      | 985.67  | -230179.250925 |
| TLMUSDT      | 0.0009216     | 0.00146     | 0.04869      | 22.88         | 0.004777     | 0.003604    | 0.001142       | 0.9883                 | 0.001203     | 58.46   | -230179.250922 |
| FTMUSDT      | 0.0009073     | 0.001839    | 0.04953      | 82.98         | 0.01705      | 0.01683     | 0.05253        | 0.8076                 | 0.009029     | 975.67  | -230179.250907 |
| STGUSDT      | 0.0008922     | 0.001289    | 0.03363      | 63.77         | 0.01008      | 0.01479     | 0.03861        | 0.8615                 | 0.00894      | 275.46  | -230179.250892 |
| DGBUSDT      | 0.000881      | 0.001647    | 0.07134      | 67.45         | 0.01203      | 0.01855     | 0.06822        | 0.774                  | 0.01266      | 766.83  | -230179.250881 |
| DEFIUSDT     | 0.0008799     | 0.001583    | 0.0623       | 83.73         | 0.01268      | 0.01375     | 0.06784        | 0.8351                 | 0.008413     | 1002.67 | -230179.25088  |
| ZRXUSDT      | 0.0008678     | 0.001159    | 0.03328      | 80.33         | 0.01362      | 0.01339     | 0.05166        | 0.8544                 | 0.00732      | 1067.58 | -230179.250868 |
| ADAUSDT      | 0.00085       | 0.00226     | 0.01354      | 44.72         | 0.003537     | 0.00627     | 0.02456        | 0.909                  | 0.002894     | 1212.62 | -230179.25085  |
| DUSKUSDT     | 0.0008382     | 0.001723    | 0.0743       | 53.75         | 0.01271      | 0.01881     | 0.068          | 0.8057                 | 0.01233      | 505.83  | -230179.250838 |
| PERPUSDT     | 0.0008257     | 0.001391    | 0.04751      | 61.3          | 0.01008      | 0.0084      | 0.0001614      | 0.9694                 | 0.002623     | 82.46   | -230179.250826 |
| LINAUSDT     | 0.0008244     | 0.001169    | 0.0509       | 89.62         | 0.0183       | 0.01862     | 0.09137        | 0.8033                 | 0.0113       | 799.67  | -230179.250824 |
| EOSUSDT      | 0.0008116     | 0.001186    | 0.02857      | 87.87         | 0.01012      | 0.0108      | 0.07532        | 0.8595                 | 0.005442     | 1235.62 | -230179.250812 |
| ARUSDT       | 0.0008061     | 0.001357    | 0.0464       | 81.87         | 0.01345      | 0.0105      | 0.02796        | 0.9249                 | 0.004393     | 606.83  | -230179.250806 |
| XEMUSDT      | 0.0008041     | 0.00142     | 0.03022      | 89.77         | 0.009586     | 0.0112      | 0.05509        | 0.835                  | 0.005667     | 815.67  | -230179.250804 |
| VETUSDT      | 0.0007967     | 0.001673    | 0.03428      | 72.75         | 0.01202      | 0.01365     | 0.08095        | 0.8236                 | 0.006037     | 1198.62 | -230179.250797 |
| XLMUSDT      | 0.0007936     | 0.001703    | 0.05051      | 64.38         | 0.006351     | 0.0179      | 0.07601        | 0.7106                 | 0.009722     | 1223.62 | -230179.250794 |
| FOOTBALLUSDT | 0.0007762     | 0.001359    | 0.05763      | 59.87         | 0.006251     | 0.008105    | 0.06604        | 0.9372                 | 0.005994     | 268.83  | -230179.250776 |
| GMXUSDT      | 0.0007751     | 0.001074    | 0.04964      | 77.38         | 0.01146      | 0.01365     | 0.01353        | 0.9848                 | 0.002379     | 99.38   | -230179.250775 |
| OGNUSDT      | 0.0007741     | 0.002182    | 0.05467      | 95.0          | 0.01525      | 0.01725     | 0.07483        | 0.8221                 | 0.01019      | 786.67  | -230179.250774 |
| QTUMUSDT     | 0.0007731     | 0.001415    | 0.03929      | 92.07         | 0.01197      | 0.01186     | 0.04962        | 0.8748                 | 0.00546      | 1192.62 | -230179.250773 |
| APEUSDT      | 0.0007709     | 0.001793    | 0.06365      | 77.07         | 0.01242      | 0.01179     | 0.06753        | 0.8715                 | 0.006699     | 436.33  | -230179.250771 |
| BALUSDT      | 0.0007608     | 0.001227    | 0.02129      | 84.72         | 0.01268      | 0.01342     | 0.01178        | 0.8227                 | 0.006377     | 998.67  | -230179.250761 |
| CHRUSDT      | 0.0007597     | 0.002084    | 0.04475      | 84.3          | 0.01398      | 0.01452     | 0.03754        | 0.8382                 | 0.008045     | 806.67  | -230179.25076  |
| LTCUSDT      | 0.000735      | 0.00113     | 0.02436      | 77.6          | 0.008075     | 0.01324     | 0.03245        | 0.7698                 | 0.006895     | 1234.62 | -230179.250735 |
| STORJUSDT    | 0.0007007     | 0.001288    | 0.03637      | 71.22         | 0.01244      | 0.017       | 0.04581        | 0.8336                 | 0.01032      | 983.67  | -230179.250701 |
| ZECUSDT      | 0.0006985     | 0.001011    | 0.04118      | 95.82         | 0.01542      | 0.01782     | 0.07776        | 0.7513                 | 0.009724     | 1207.62 | -230179.250698 |
| DYDXUSDT     | 0.000694      | 0.001052    | 0.05077      | 82.9          | 0.01756      | 0.01697     | 0.08953        | 0.8593                 | 0.009562     | 624.83  | -230179.250694 |
| STMXUSDT     | 0.0006802     | 0.001536    | 0.05138      | 94.73         | 0.01638      | 0.01977     | 0.04871        | 0.8053                 | 0.01258      | 796.67  | -230179.25068  |
| IOSTUSDT     | 0.000679      | 0.001141    | 0.03437      | 93.85         | 0.01551      | 0.01598     | 0.06974        | 0.8547                 | 0.006542     | 1191.62 | -230179.250679 |
| SSVUSDT      | 0.0006764     | 0.001096    | 0.03923      | 46.58         | 0.01809      | 0.01663     | 0.01321        | 0.939                  | 0.005879     | 92.46   | -230179.250676 |
| API3USDT     | 0.0006764     | 0.001032    | 0.03334      | 82.07         | 0.01141      | 0.01001     | 0.05273        | 0.9263                 | 0.004579     | 459.83  | -230179.250676 |
| BLZUSDT      | 0.0006654     | 0.001131    | 0.05347      | 93.15         | 0.01843      | 0.01953     | 0.05703        | 0.8151                 | 0.01118      | 982.67  | -230179.250665 |
| XTZUSDT      | 0.0006469     | 0.001412    | 0.04792      | 91.08         | 0.01325      | 0.01749     | 0.02772        | 0.7243                 | 0.008994     | 1206.62 | -230179.250647 |
| WOOUSDT      | 0.0006332     | 0.0008227   | 0.02246      | 64.32         | 0.01273      | 0.01058     | 0.04349        | 0.9151                 | 0.00429      | 414.83  | -230179.250633 |
| PEOPLEUSDT   | 0.0006294     | 0.001358    | 0.0514       | 82.62         | 0.01561      | 0.01311     | 0.06673        | 0.8776                 | 0.006501     | 519.79  | -230179.250629 |
| CVXUSDT      | 0.0006206     | 0.00071     | 0.04918      | 62.13         | 0.008978     | 0.007698    | 0.06507        | 0.949                  | 0.003901     | 247.46  | -230179.250621 |
| ONTUSDT      | 0.0006182     | 0.0008544   | 0.01333      | 89.82         | 0.01342      | 0.0121      | 0.0005971      | 0.9084                 | 0.002444     | 1201.62 | -230179.250618 |
| HIGHUSDT     | 0.0006106     | 0.0011      | 0.06697      | 55.3          | 0.01949      | 0.01487     | 0.06026        | 0.9318                 | 0.008587     | 109.88  | -230179.250611 |
| XMRUSDT      | 0.0005982     | 0.001059    | 0.06034      | 93.0          | 0.01497      | 0.01252     | 0.07742        | 0.8894                 | 0.004977     | 1209.62 | -230179.250598 |
| BLUEBIRDUSDT | 0.0005916     | 0.00128     | 0.07047      | 78.67         | 0.006951     | 0.005577    | 0.06747        | 0.948                  | 0.003344     | 206.46  | -230179.250592 |
| LEVERUSDT    | 0.0005889     | 0.0008374   | 0.06954      | 43.97         | 0.01306      | 0.008948    | 0.0            | 0.9808                 | 0.002929     | 58.46   | -230179.250589 |
| ENSUSDT      | 0.0005893     | 0.001217    | 0.05727      | 87.63         | 0.01334      | 0.011       | 0.02931        | 0.9382                 | 0.004891     | 543.83  | -230179.250589 |
| KNCUSDT      | 0.0005717     | 0.0009563   | 0.0212       | 95.95         | 0.01491      | 0.01288     | 0.0267         | 0.8875                 | 0.003761     | 1069.62 | -230179.250572 |
