+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                     long                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| AXSUSDT      | 0.000644      | 0.001362    | 82.07         | 0.01474      | 0.01646     | 0.1497         | 0.8012                 | 0.008146     | 895.71  | -22518.000644  |
| ETHUSDT      | 0.0006198     | 0.001258    | 87.2          | 0.007857     | 0.0145      | 0.02971        | 0.7223                 | 0.007115     | 1219.0  | -22518.0006198 |
| ANTUSDT      | 0.0006109     | 0.0009798   | 79.02         | 0.01472      | 0.01653     | 0.06333        | 0.8714                 | 0.009824     | 493.83  | -22518.0006109 |
| VETUSDT      | 0.0006049     | 0.001656    | 62.23         | 0.008043     | 0.007431    | 0.0762         | 0.9424                 | 0.001825     | 1175.67 | -22518.0006049 |
| SFPUSDT      | 0.0005969     | 0.001042    | 90.12         | 0.01675      | 0.0177      | 0.09762        | 0.8329                 | 0.005523     | 799.71  | -22518.0005969 |
| IOTXUSDT     | 0.0005876     | 0.0008636   | 50.37         | 0.007413     | 0.008865    | 0.1389         | 0.9027                 | 0.004163     | 630.88  | -22518.0005876 |
| CRVUSDT      | 0.000578      | 0.00142     | 91.85         | 0.01982      | 0.0171      | 0.03092        | 0.9125                 | 0.004549     | 975.71  | -22518.000578  |
| WOOUSDT      | 0.0005448     | 0.0007754   | 64.33         | 0.009216     | 0.008056    | 0.0            | 0.9477                 | 0.00213      | 391.88  | -22518.0005448 |
| QTUMUSDT     | 0.0005271     | 0.0009104   | 85.75         | 0.01208      | 0.01398     | 0.09549        | 0.8455                 | 0.005285     | 1169.67 | -22518.0005271 |
| BCHUSDT      | 0.0005165     | 0.001456    | 78.28         | 0.007911     | 0.01        | 0.1123         | 0.8018                 | 0.004029     | 1219.0  | -22518.0005165 |
| KAVAUSDT     | 0.0005143     | 0.0008988   | 93.93         | 0.01462      | 0.01626     | 0.09801        | 0.8968                 | 0.005084     | 1010.71 | -22518.0005143 |
| ADAUSDT      | 0.0004997     | 0.001427    | 67.93         | 0.00729      | 0.007299    | 0.08452        | 0.913                  | 0.002049     | 1189.67 | -22518.0004997 |
| KNCUSDT      | 0.0004891     | 0.0006925   | 95.95         | 0.01831      | 0.01808     | 0.08164        | 0.8328                 | 0.006902     | 1046.67 | -22518.0004891 |
| IOTAUSDT     | 0.0004431     | 0.00112     | 78.37         | 0.01083      | 0.009858    | 0.1342         | 0.9001                 | 0.002496     | 1177.67 | -22518.0004431 |
| BLZUSDT      | 0.000426      | 0.0006921   | 92.67         | 0.01917      | 0.01897     | 0.05892        | 0.8872                 | 0.006501     | 958.71  | -22518.000426  |
| DASHUSDT     | 0.0004227     | 0.0007986   | 88.63         | 0.01322      | 0.01166     | 0.1433         | 0.9305                 | 0.002846     | 1185.67 | -22518.0004227 |
| NEOUSDT      | 0.0004179     | 0.0006212   | 85.27         | 0.01683      | 0.01948     | 0.036          | 0.8114                 | 0.006267     | 1172.67 | -22518.0004179 |
| BTCUSDT      | 0.0004071     | 0.0009294   | 92.43         | 0.005737     | 0.007198    | 0.05434        | 0.9323                 | 0.002845     | 1219.0  | -22518.0004071 |
| TRXUSDT      | 0.0003762     | 0.0008027   | 93.88         | 0.009059     | 0.01347     | 0.1149         | 0.7898                 | 0.006708     | 1205.67 | -22518.0003762 |
| STORJUSDT    | 0.0003694     | 0.0005761   | 68.47         | 0.01378      | 0.01153     | 0.03952        | 0.9122                 | 0.00248      | 960.71  | -22518.0003694 |
| BATUSDT      | 0.0003626     | 0.0007188   | 93.2          | 0.01507      | 0.0151      | 0.03113        | 0.8843                 | 0.004703     | 1176.67 | -22518.0003626 |
| BNBUSDT      | 0.0003321     | 0.0007471   | 94.67         | 0.01418      | 0.0168      | 0.0005743      | 0.9331                 | 0.003771     | 1179.67 | -22518.0003321 |
| BAKEUSDT     | 0.0002947     | 0.0004592   | 72.67         | 0.01697      | 0.01704     | 0.0855         | 0.897                  | 0.005686     | 715.71  | -22518.0002947 |
| FLMUSDT      | 0.0002912     | 0.0006      | 89.65         | 0.01987      | 0.0185      | 0.02059        | 0.8988                 | 0.004732     | 947.71  | -22518.0002912 |
| ONTUSDT      | 0.0002717     | 0.0005044   | 89.72         | 0.01779      | 0.01675     | 0.0            | 0.9196                 | 0.003961     | 1178.67 | -22518.0002717 |
| TRBUSDT      | 0.0002466     | 0.0003545   | 76.45         | 0.01609      | 0.01523     | 0.1368         | 0.8189                 | 0.006979     | 973.71  | -22518.0002466 |
| BTCDOMUSDT   | 0.0001601     | 0.000202    | 94.48         | 0.009514     | 0.009493    | 0.07842        | 0.9257                 | 0.005005     | 682.88  | -22518.0001601 |
| KLAYUSDT     | 5.224e-06     | 5.224e-05   | 59.58         | 4.431        | 3.303       | 0.0            | 0.9344                 | 0.02201      | 569.88  | -18793.3836752 |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    short                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| LUNA2USDT    | 0.004625      | 0.006493    | 85.87         | 0.01251      | 0.01894     | 0.07494        | 0.8114                 | 0.01861      | 220.88  | -22518.0046251 |
| INJUSDT      | 0.003884      | 0.002776    | 57.68         | 0.01051      | 0.01145     | 0.04304        | 0.9147                 | 0.006928     | 244.92  | -22518.0038838 |
