trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
2448379,1807.9,sel,long,close,-2580466.0,9.137313598132359,0.3568319597322861,0.0,,0.0,,0.13662934009583858,271.44730581632086,171.44730581632083,0.0,158.99400062830105,12.453305188019723,271.44730581632086,,1617179496586.0,0.654866189126999,0.0,2.714473058163209,27.047981203703703,1.0376094863486267,0.0,0.0,0.0
2455190,1791.05,buy,long,entry,2669687.0,0.0,0.37264272354205635,2669687.0,1791.05,0.0,,,271.77833572874704,171.81994853986288,0.0,158.99400062830105,12.825947911561778,271.81994853986293,1556.2821728725119,1617186624785.0,0.6566879224510244,0.000153113054446802,2.7177833572874706,27.130483506944444,1.0375396076645746,0.0,0.0,0.0
2457158,1802.5,sel,long,close,-2669687.0,9.468536331886904,0.3702755894590846,0.0,,0.0,,0.13662191180687808,281.65876046120894,181.65876046120886,0.0,168.46253696018795,13.196223501020864,281.65876046120894,,1617188306534.0,0.6572143020108073,0.0,2.8165876046120895,27.149948194444445,1.0388777008206842,0.0,0.0,0.0
2599539,1898.05,buy,long,entry,2935608.0,0.0,0.38666104686388664,2935608.0,1898.05,0.0,,,282.00467745677,182.04542150807274,0.0,168.46253696018795,13.58288454788475,282.0454215080728,1649.2568218946137,1617301190603.0,0.6952968467778109,0.00014448005497724725,2.8200467745677003,28.456476770833333,1.0371047665880895,0.0,0.0,0.0
2601492,1910.2,sel,long,close,-2935608.0,9.837570347390335,0.38420165427703906,0.0,,0.0,,0.13662775977248331,292.2671935097402,192.2671935097401,0.0,178.3001073075783,13.96708620216179,292.2671935097402,,1617301447344.0,0.6958192142982662,0.0,2.922671935097402,28.459448310185184,1.0384042276303018,0.0,0.0,0.0
2817072,2063.05,buy,long,entry,3310984.0,0.0,0.40122440076585636,3310984.0,2063.05,0.0,,,292.6295207315658,192.66841791050598,0.0,178.3001073075783,14.368310602927647,292.66841791050604,1792.628972640356,1617465684734.0,0.7534802435147391,0.0001329229492739436,2.9262952073156576,30.360344027777778,1.0359992675201841,0.0,0.0,0.0
2818896,2076.25,sel,long,close,-3310984.0,10.203322509542119,0.39867357013847077,0.0,,0.0,,0.13666491396630898,303.2704139901866,203.27041399018657,0.0,188.5034298171204,14.766984173066117,303.2704139901866,,1617465961317.0,0.753968107496977,0.0,3.0327041399018664,30.363545219907408,1.0372147921167998,0.0,0.0,0.0
2825221,2060.4,buy,long,entry,3431222.0,0.0,0.41632959619491355,3431222.0,2060.4,0.0,,,303.6463301036046,203.68674358638148,0.0,188.5034298171204,15.18331376926103,303.68674358638157,1790.3263126840134,1617469582526.0,0.7556598507467877,0.00013309392793637976,3.0364633010360462,30.40545736111111,1.0372048088595935,0.0,0.0,0.0
2848280,2073.6,sel,long,close,-3431222.0,10.60098508829625,0.41367934992283956,0.0,,0.0,,0.13663042814167614,314.70140802460065,214.70140802460057,0.0,199.10441490541666,15.59699311918387,314.70140802460065,,1617476501994.0,0.7618274250704848,0.0,3.1470140802460067,30.485543796296298,1.0383225551594035,0.0,0.0,0.0
2860378,2043.55,buy,long,entry,3531434.0,0.0,0.43202197156908323,3531434.0,2043.55,0.0,,,315.0911474445116,215.13342999616964,0.0,199.10441490541666,16.029015090752953,315.13342999616975,1775.684921790163,1617483180291.0,0.76506326852285,0.00013419149348080988,3.150911474445116,30.562838900462964,1.038265851035105,0.0,0.0,0.0
2861282,2056.65,sel,long,close,-3531434.0,11.007196805591844,0.4292701723676853,0.0,,0.0,,0.13663396616416443,326.5698969741293,226.56989697412916,0.0,210.1116117110085,16.458285263120636,326.5698969741293,,1617483443762.0,0.7653050607596609,0.0,3.2656989697412926,30.565888333333334,1.0394781175637378,0.0,0.0,0.0
