trade_id,side,type,price,qty,pos_price,pos_size,liq_price,pnl,fee_paid,pnl_plus_fee,fee_paid_cumsum,apparent_balance,actual_balance,profit_cumsum,loss_cumsum,pnl_plus_fees_cumsum,average_daily_gain,timestamp,closest_long_liq,closest_shrt_liq,closest_liq,avg_gain_per_tick,millis_since_prev_trade,progress,reentry_price
1109947,shrt,reentry,1750.2,-96685.0,1743.493772686326,-150972.0,4731.526605285116,0.0,0.013810564506913496,0.013810564506913496,2.4667166855367952,22.407715188876217,56.87237357582796,4.405656890291238,0.0,6.872373575828025,1.0207258325253394,1612785667603.0,1.0,1.0,1.0,1.000414190871979,89569.0,0.2155757205088529,1791.6
1111673,shrt,close,1742.6,25162.0,1743.493772686326,-125810.0,7360.381782917545,0.007402085995158902,0.0036098358774245384,0.01101192187258344,2.47032652141422,22.412053886094014,56.883385497700544,4.413058976286397,0.0,6.883385497700608,1.0207524078710082,1612785794453.0,1.0,1.0,1.0,1.00041348385287,126850.0,0.21591094704993846,1783.8
1111680,shrt,close,1742.6,125810.0,1743.493772686326,0.0,0.0,0.03701042997579451,0.018049179387122694,0.055059609362917206,2.4883757008013427,22.433747372183003,56.93844510706346,4.450069406262191,0.0,6.938445107063526,1.0209096047607138,1612785796543.0,1.0,1.0,1.0,1.0004152547838019,2090.0,0.21591230660137972,
1129993,long,entry,1684.1,52880.0,1684.1,52880.0,604.3765123876603,0.0,0.007849890149041031,0.007849890149041031,2.4962255909503837,22.436840228901726,56.9462949972125,4.450069406262191,0.0,6.946294997212567,1.0208103052177757,1612788937077.0,1.0,1.0,1.0,1.0004143712587368,3140534.0,0.21946908739332618,1665.6
1130036,long,close,1685.0,-52880.0,1684.1,0.0,0.0,0.016771278656709156,0.007845697329376854,0.02461697598608601,2.5040712882797607,22.446539317440244,56.97091197319859,4.466840684918901,0.0,6.970911973198652,1.020880064648559,1612788939577.0,0.6409146738829182,1.0,0.6409146738829182,1.0004144281242864,2500.0,0.21947743892360816,
1130074,long,entry,1683.7,52898.0,1683.7,52898.0,604.2360407988004,0.0,0.007854427748411238,0.007854427748411238,2.511925716028172,22.44963396197312,56.978766400947,4.466840684918901,0.0,6.978766400947063,1.0209022371382368,1612788942438.0,1.0,1.0,1.0,1.000413552811301,2861.0,0.2194848193457178,1665.6
1130185,long,close,1684.6,-52898.0,1683.7,0.0,0.0,0.01678495779073799,0.007850231508963553,0.024635189299701543,2.5197759475371355,22.459340226557202,57.0034015902467,4.483625642709638,0.0,7.003401590246765,1.0209717285663533,1612788952278.0,0.6407526735046818,1.0,0.6407526735046818,1.0004136121311036,9840.0,0.21950637794714337,
1130225,long,entry,1683.05,52908.0,1683.05,52908.0,604.0047493395799,0.0,0.007858946555360803,0.007858946555360803,2.5276348940924964,22.462436651500013,57.01126053680206,4.483625642709638,0.0,7.0112605368021255,1.0209938974199215,1612788955261.0,1.0,1.0,1.0,1.0004127448921338,2983.0,0.21951414681252193,1664.4
1130278,long,close,1683.95,-52908.0,1683.05,0.0,0.0,0.016801097181805634,0.007854746281065353,0.02465584346287099,2.535489640373562,22.472151053824383,57.03591638026493,4.500426739891444,0.0,7.035916380264997,1.0210635026048998,1612788962740.0,0.6409435564501369,1.0,0.6409435564501369,1.0004128067358162,7479.0,0.21952444055914855,
1133800,shrt,entry,1729.8,-54408.0,1729.8,-54408.0,0.0,0.0,0.00786333680194242,0.00786333680194242,2.543352977175504,22.475249208524346,57.04377971706687,4.500426739891444,0.0,7.043779717066939,1.0210537406945115,1612789784820.0,1.0,1.0,1.0,1.0004119474295687,822080.0,0.22020848915573216,1748.4
1134115,shrt,close,1728.9,54408.0,1729.8,0.0,0.0,0.016373423845785735,0.007867430157903869,0.024240854003689603,2.551220407333408,22.4848001050018,57.068020571070555,4.51680016373723,0.0,7.068020571070629,1.021120590975299,1612789829147.0,1.0,1.0,1.0,1.0004119879412072,44327.0,0.22026966897058844,
1145922,shrt,entry,1746.6,-54968.0,1746.6,-54968.0,0.0,0.0,0.007867857551814956,0.007867857551814956,2.559088264885223,22.487900040877214,57.07588842862237,4.51680016373723,0.0,7.075888428622443,1.020957618202109,1612794609683.0,1.0,1.0,1.0,1.0004111365209523,4780536.0,0.22256284380870955,1765.8
1145982,shrt,close,1745.7,54968.0,1746.6,0.0,0.0,0.016225174535450103,0.007871913845448816,0.02409708838089892,2.566960178730672,22.49739429369929,57.09998551700327,4.53302533827268,0.0,7.099985517003343,1.0210247969767803,1612794618892.0,1.0,1.0,1.0,1.0004111707539427,9209.0,0.22257449710677743,
1147163,shrt,entry,1751.05,-55139.0,1751.05,-55139.0,0.0,0.0,0.007872276634019588,0.007872276634019588,2.5748324553646915,22.50049597069309,57.10785779363729,4.53302533827268,0.0,7.107857793637362,1.0210336527263753,1612794961366.0,1.0,1.0,1.0,1.0004103271128932,342474.0,0.22280387285707987,1770.0
1147256,shrt,close,1750.15,55139.0,1751.05,0.0,0.0,0.016193009674861147,0.007876324886438305,0.024069334561299453,2.5827087802511297,22.509979288510245,57.13192712819858,4.549218347947542,0.0,7.131927128198662,1.0211005504651216,1612794973848.0,1.0,1.0,1.0,1.0004103614031288,12482.0,0.22282193546908508,
1148785,shrt,entry,1757.8,-55382.0,1757.8,-55382.0,0.0,0.0,0.007876607122539538,0.007876607122539538,2.590585387373669,22.513082671716525,57.139803735321124,4.549218347947542,0.0,7.139803735321201,1.021111054750486,1612795272307.0,1.0,1.0,1.0,1.0004095254172019,298459.0,0.22311890034818113,1777.2
1150677,shrt,close,1756.9,55382.0,1757.8,0.0,0.0,0.016139669668808736,0.007880642039956741,0.02402031170876548,2.598466029413626,22.522546674529778,57.16382404702989,4.56535801761635,0.0,7.163824047029967,1.0211714740406854,1612795446559.0,1.0,1.0,1.0,1.0004095586050972,174252.0,0.22348636768058777,
1157757,shrt,entry,1776.25,-55995.0,1776.25,-55995.0,0.0,0.0,0.00788106966924701,0.00788106966924701,2.606347099082873,22.52565181597946,57.17170511669914,4.56535801761635,0.0,7.171705116699213,1.0211465686370667,1612796659339.0,1.0,1.0,1.0,1.0004087301683304,1212780.0,0.22486145685259568,1795.8
1157955,shrt,close,1775.3,55995.0,1776.25,0.0,0.0,0.016869298002110962,0.007885286993747536,0.024754584995858496,2.6142323860766203,22.53540512246783,57.196459701695,4.582227315618461,0.0,7.196459701695072,1.021215157864959,1612796670354.0,1.0,1.0,1.0,1.000408803895343,11015.0,0.22489991273621965,
1169029,long,entry,1732.25,54639.0,1732.25,54639.0,621.6609111726253,0.0,0.007885553470919324,0.007885553470919324,2.6221179395475396,22.538512030535372,57.20434525516592,4.582227315618461,0.0,7.2043452551659914,1.0211752104766743,1612798271941.0,1.0,1.0,1.0,1.0004079827661931,1601587.0,0.22705072311627836,1713.6
1169305,long,close,1733.15,-54639.0,1732.25,0.0,0.0,0.016379420416757367,0.007881458615815134,0.0242608790325725,2.629999398163355,22.548070816874205,57.228606134198486,4.598606736035218,0.0,7.228606134198564,1.0212414634556155,1612798301770.0,0.6404506008255493,1.0,0.6404506008255493,1.0004080314856136,29829.0,0.22710432828739052,
1169360,long,entry,1730.7,54621.0,1730.7,54621.0,621.1061995833871,0.0,0.007890015600624025,0.007890015600624025,2.637889413763979,22.55117948302085,57.23649614979911,4.598606736035218,0.0,7.236496149799188,1.0212629552594035,1612798312709.0,1.0,1.0,1.0,1.0004072176317742,10939.0,0.22711501047728608,1711.8
1169392,long,close,1731.6,-54621.0,1730.7,0.0,0.0,0.016403358837053773,0.00788591476091476,0.024289273597968536,2.645775328524894,22.56074945681845,57.260785423397074,4.615010094872272,0.0,7.260785423397157,1.0213301897856821,1612798318217.0,0.6410413225548245,1.0,0.6410413225548245,1.0004072691305939,5508.0,0.22712122556958894,
1169460,long,entry,1730.25,54637.0,1730.25,54637.0,620.940987975474,0.0,0.007894379424938593,0.007894379424938593,2.6536697079498324,22.563859842311874,57.268679802822014,4.615010094872272,0.0,7.268679802822096,1.0213517582283183,1612798327166.0,1.0,1.0,1.0,1.000406462429441,8949.0,0.22713443264073252,1711.2
1169969,long,close,1731.15,-54637.0,1730.25,0.0,0.0,0.016416697530413304,0.007890275250555988,0.024306972780969292,2.6615599832003882,22.573436789587575,57.29298677560298,4.631426792402685,0.0,7.292986775603065,1.0214166902152348,1612798392094.0,0.6398149668056069,1.0,0.6398149668056069,1.0004065160857571,64928.0,0.2272332914526749,
1176124,long,entry,1711.2,54066.0,1711.2,54066.0,614.1056591155069,0.0,0.00789884291725105,0.00789884291725105,2.6694588261176393,22.57654893369697,57.300885618520226,4.631426792402685,0.0,7.300885618520316,1.0213609451227648,1612800389133.0,1.0,1.0,1.0,1.000405716429447,1997039.0,0.22842872561280325,1692.6
1176303,long,close,1712.1,-54066.0,1711.2,0.0,0.0,0.016608746277724268,0.00789469073068162,0.02450343700840589,2.677353516848321,22.58620328787828,57.32538905552863,4.64803553868041,0.0,7.3253890555287215,1.0214284566967406,1612800394489.0,0.6403164792716742,1.0,0.6403164792716742,1.0004057814468823,5356.0,0.22846349128537238,
1176315,long,entry,1710.25,54066.0,1710.25,54066.0,613.7607078714321,0.0,0.00790323052185353,0.00790323052185353,2.6852567473701745,22.589317160703892,57.33329228605049,4.64803553868041,0.0,7.333292286050575,1.021450268825933,1612800395118.0,1.0,1.0,1.0,1.0004049886922233,629.0,0.22846582194498594,1691.4
1176389,long,close,1711.15,-54066.0,1710.25,0.0,0.0,0.016627198012255505,0.007899073722350465,0.02452627173460597,2.693155821092525,22.59898051176733,57.357818557785095,4.664662736692665,0.0,7.357818557785182,1.021517465904351,1612800409277.0,0.6409601287715745,1.0,0.6409601287715745,1.0004050559345963,14159.0,0.2284801943459363,
1176447,long,entry,1709.7,54080.0,1709.7,54080.0,613.5693139266766,0.0,0.007907820085395098,0.007907820085395098,2.70106364117792,22.602096192880975,57.36572637787049,4.664662736692665,0.0,7.365726377870577,1.0215388896864948,1612800419885.0,1.0,1.0,1.0,1.000404269983712,10608.0,0.22849145920073524,1690.8
1176472,long,close,1710.6,-54080.0,1709.7,0.0,0.0,0.01664220291559302,0.007903659534666199,0.02454586245025922,2.7089673007125863,22.611767262686374,57.39027224032075,4.681304939608258,0.0,7.3902722403208365,1.0216063883062703,1612800426768.0,0.641114079532842,1.0,0.641114079532842,1.0004043392314952,6883.0,0.22849631474159685,
